number,name,status
PEP,– Extending the Repository API to Mitigate Dependency Confusion Attacks,Provisional
PEP,– Secure PyPI downloads with signed repository metadata,Accepted
PEP,– 2025 Term Steering Council election,Active
PEP,– Improving License Clarity with Better Package Metadata,Provisional
PEP,– 2021 Term Steering Council election,Final
PEP,– 2022 Term Steering Council election,Final
PEP,– 2023 Term Steering Council election,Final
PEP,– 2020 Term Steering Council election,Final
PEP,– January 2019 Steering Council election,Final
PEP,– The Steering Council Model,Accepted
PEP,– 2024 Term Steering Council election,Final
PEP,– Open Source Governance Survey,Final
PEP,– Python Language Governance Proposal Overview,Final
PEP,– Python 3.14 Release Schedule,Active
PEP,– Reserved,Active
PEP,– Python 3.13 Release Schedule,Active
PEP,– Python Web Server Gateway Interface v1.0.1,Final
PEP,– REPL-acing the default REPL,Final
PEP,– Python 3.12 Release Schedule,Active
PEP,– An Evaluation of Python’s Public C API,Final
PEP,– Unicode-related Security Considerations for Python,Active
PEP,– Python 3.11 Release Schedule,Active
PEP,– Specializing Adaptive Interpreter,Final
PEP,– Structural Pattern Matching: Tutorial,Final
PEP,– Isolating Extension Modules,Final
PEP,– Structural Pattern Matching: Motivation and Rationale,Final
PEP,– Python 3.9 Release Schedule,Active
PEP,– Python 3.10 Release Schedule,Active
PEP,– Reducing CPython’s Feature Delivery Latency,Final
PEP,– GitHub Issues Migration Plan,Final
PEP,– Notation For Positional-Only Parameters,Final
PEP,– Refactoring C functions and methods,Final
PEP,– Python registration in the Windows registry,Active
PEP,– Literature Overview for Type Hints,Final
PEP,– The Theory of Type Hints,Final
PEP,– IDLE Enhancement Exception for All Branches,Active
PEP,– API for Cryptographic Hash Functions v2.0,Final
PEP,– Pure Python/C Accelerator Module Compatibility Requirements,Final
PEP,– The “python” Command on Unix-Like Systems,Active
PEP,– Docstring Conventions,Active
PEP,– Code Migration and Modernization,Active
PEP,– Python Database API Specification v2.0,Final
PEP,– API for Block Encryption Algorithms v1.0,Final
PEP,– reStructuredText Docstring Format,Active
PEP,– Python Web Server Gateway Interface v1.0,Final
PEP,– API for Cryptographic Hash Functions,Final
PEP,– Python Database API Specification v1.0,Final
PEP,– Doing Python Releases 101,Active
PEP,– The Zen of Python,Active
PEP,– The Python Documentation Editorial Board,Active
PEP,– C API Working Group Charter,Active
PEP,– Deprecating PGP signatures for CPython artifacts,Active
